Week,Forecast,Lower Bound,Upper Bound,Route
2025-08-24,46683.23553405994,-11106.754832483617,104473.22590060349,53
2025-08-31,51046.11832779701,-7564.663255261876,109656.8999108559,53
2025-09-07,48688.456942174496,-10731.779080487635,108108.69296483663,53
2025-09-14,51899.53680820466,-8319.274041900237,112118.34765830956,53
2025-09-21,51408.73140299457,-9598.201903085901,112415.66470907503,53
2025-09-28,50849.05837729729,-10935.945002361026,112634.0617569556,53
2025-10-05,53587.90348845202,-8965.492693020227,116141.29966992428,53
2025-10-12,51855.05004385473,-11457.414013770336,115167.5141014798,53
2025-10-19,50149.3115085877,-13913.226969526826,114211.84998670223,53
2025-10-26,51361.47535457143,-13442.456373925903,116165.40708306876,53
2025-11-02,50965.52911424638,-14571.409315036246,116502.46754352901,53
2025-11-09,49585.090244668005,-16676.746659355565,115846.92714869158,53
2025-11-16,50527.84311553917,-16451.04729858502,117506.73352966337,53
2025-11-23,46651.688902646456,-21036.659373250317,114340.03717854322,53
2025-11-30,39823.7555219925,-28566.691351316767,108214.20239530176,53
2025-12-07,47841.909004013454,-21243.501574072965,116927.31958209988,53
2025-12-14,46010.64519275627,-23762.80739456103,115784.09778007356,53
2025-12-21,46812.36637503295,-23642.409312399723,117267.14206246563,53
2025-12-28,34980.92829199969,-36148.64466031242,106110.5012443118,53
2026-01-04,21633.58158276105,-50164.44679957081,93431.60996509291,53
